Beacon
Posx, Posy, RSSI
1,2,-100
1,2,-96
1,2,-98
1,2,-90
1,2,-94
1,2,-94
1,2,-90
1,2,-97
1,2,-92
1,2,-96
1,2,-90
1,2,-96
1,2,-92
1,2,-90
1,2,-99
1,2,-92
1,2,-88
1,2,-94
1,2,-90
1,2,-87
1,2,-97
1,2,-90
1,2,-86
1,2,-98
1,2,-83
1,2,-85
1,2,-94
1,2,-92
1,2,-88
1,2,-91
1,2,-90
1,2,-88
1,2,-92
1,2,-91
1,2,-92
1,2,-94
1,2,-90
1,2,-92
1,2,-93
1,2,-95
1,2,-89
1,2,-87
2,2,-84
2,2,-92
2,2,-88
2,2,-94
2,2,-95
2,2,-100
2,1,-92
2,1,-88
2,1,-93
2,1,-92
2,1,-92
2,1,-94
2,1,-90
2,1,-96
2,1,-96
2,1,-90
2,1,-95
2,1,-92
2,1,-99
2,1,-82
3,1,-80
3,1,-88
3,1,-92
3,1,-88
3,1,-83
3,1,-100
3,1,-90
3,1,-84
3,1,-89
3,1,-93
3,1,-90
3,1,-90
3,1,-86
4,1,-97
4,1,-92
4,1,-84
4,1,-95
4,1,-87
4,1,-94
4,1,-96
4,1,-94
4,1,-89
4,1,-90
4,1,-89
4,2,-84
4,2,-92
4,2,-93
4,2,-84
4,2,-95
3,2,-93
3,2,-90
3,2,-88
3,3,-99
3,3,-89
3,3,-89
3,3,-88
3,3,-88
3,3,-96
3,3,-90
3,3,-100
3,3,-88
3,3,-90
3,3,-88
3,3,-94
3,3,-87
3,3,-89
3,3,-99
3,3,-88
3,3,-95
3,3,-88
3,3,-94
3,3,-93
3,3,-94
3,3,-88
2,2,-92
2,2,-99
2,2,-90
2,2,-91
2,2,-95
2,2,-92
2,2,-91
2,2,-95
2,2,-97
2,2,-90
2,2,-90
2,2,-92
2,2,-94
2,2,-99
2,2,-87
2,2,-91
2,2,-88
2,2,-98
2,2,-92
2,2,-88
