PUNTO,ROUTER,RSSI
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-74.0
AA,74:DA:EA:B4:3A:B3,-74.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-74.0
AA,74:DA:EA:B4:3A:B3,-74.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-73.0
AA,74:DA:EA:B4:3A:B3,-74.0
AA,74:DA:EA:B4:3A:B3,-64.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-73.0
AA,74:DA:EA:B4:3A:B3,-74.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-63.0
AA,74:DA:EA:B4:3A:B3,-74.0
AA,74:DA:EA:B4:3A:B3,-74.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-74.0
